"기준연도","행정구역코드","통계항목","통계값"
2024,11100610,"to_in_008",6433
2024,11100620,"to_in_001",25336
2024,11100620,"to_in_007",12110
2024,11100620,"to_in_008",13226
2024,11100630,"to_in_001",22946
2024,11100630,"to_in_007",10880
2024,11100630,"to_in_008",12066
2024,11100640,"to_in_001",19190
2024,11100640,"to_in_007",9521
2024,11100640,"to_in_008",9669
2024,11100650,"to_in_001",25307
2024,11100650,"to_in_007",12346
2024,11100650,"to_in_008",12961
2024,11110,"to_in_001",486446
2024,11110,"to_in_007",233042
2024,11110,"to_in_008",253404
2024,11110510,"to_in_001",21927
2024,11110510,"to_in_007",11356
2024,11110510,"to_in_008",10571
2024,11110520,"to_in_001",24780
2024,11110520,"to_in_007",11860
2024,11110520,"to_in_008",12920
2024,11110530,"to_in_001",27457
2024,11110530,"to_in_007",13095
2024,11110530,"to_in_008",14362
2024,11110560,"to_in_001",43502
2024,11110560,"to_in_007",20980
2024,11110560,"to_in_008",22522
2024,11110580,"to_in_001",26463
2024,11110580,"to_in_007",12713
2024,11110580,"to_in_008",13750
2024,11110590,"to_in_001",20194
2024,11110590,"to_in_007",9589
2024,11110590,"to_in_008",10605
2024,11110600,"to_in_001",21782
2024,11110600,"to_in_007",10580
2024,11110600,"to_in_008",11202
2024,11110610,"to_in_001",25356
2024,11110610,"to_in_007",12372
2024,11110610,"to_in_008",12984
2024,11110640,"to_in_001",18529
2024,11110640,"to_in_007",8979
2024,11110640,"to_in_008",9550
2024,11110650,"to_in_001",35496
2024,11110650,"to_in_007",17033
2024,11110650,"to_in_008",18463
2024,11110660,"to_in_001",18745
2024,11110660,"to_in_007",9171
2024,11110660,"to_in_008",9574
2024,11110690,"to_in_001",22176
2024,11110690,"to_in_007",10702
2024,11110690,"to_in_008",11474
2024,11110720,"to_in_001",21003
2024,11110720,"to_in_007",9960
2024,11110720,"to_in_008",11043
2024,11110730,"to_in_001",18676
2024,11110730,"to_in_007",8753
2024,11110730,"to_in_008",9923
2024,11110740,"to_in_001",17260
2024,11110740,"to_in_007",7933
2024,11110740,"to_in_008",9327
2024,11110760,"to_in_001",26330
2024,11110760,"to_in_007",13022
2024,11110760,"to_in_008",13308
2024,11110770,"to_in_001",30071
2024,11110770,"to_in_007",13830
2024,11110770,"to_in_008",16241
2024,11110780,"to_in_001",30916
2024,11110780,"to_in_007",14005
2024,11110780,"to_in_008",16911
2024,11110790,"to_in_001",35783
2024,11110790,"to_in_007",17109
2024,11110790,"to_in_008",18674
2024,11120,"to_in_001",448142
2024,11120,"to_in_007",211821
2024,11120,"to_in_008",236321
2024,11120510,"to_in_001",34843
2024,11120510,"to_in_007",16186
2024,11120510,"to_in_008",18657
2024,11120520,"to_in_001",35839
2024,11120520,"to_in_007",16808
2024,11120520,"to_in_008",19031
2024,11120550,"to_in_001",13887
2024,11120550,"to_in_007",6646
2024,11120550,"to_in_008",7241
2024,11120560,"to_in_001",26433
2024,11120560,"to_in_007",12396
2024,11120560,"to_in_008",14037
2024,11120570,"to_in_001",30351
2024,11120570,"to_in_007",14678
2024,11120570,"to_in_008",15673
2024,11120580,"to_in_001",26741
2024,11120580,"to_in_007",12267
2024,11120580,"to_in_008",14474
2024,11120590,"to_in_001",31628
2024,11120590,"to_in_007",14679
2024,11120590,"to_in_008",16949
2024,11120600,"to_in_001",26291
2024,11120600,"to_in_007",12704
2024,11120600,"to_in_008",13587
2024,11120650,"to_in_001",25320
2024,11120650,"to_in_007",12074
2024,11120650,"to_in_008",13246
2024,11120660,"to_in_001",18150
2024,11120660,"to_in_007",8939
2024,11120660,"to_in_008",9211
2024,11120670,"to_in_001",15823
2024,11120670,"to_in_007",7735
2024,11120670,"to_in_008",8088
2024,11120680,"to_in_001",20561
2024,11120680,"to_in_007",9906
2024,11120680,"to_in_008",10655
2024,11120710,"to_in_001",51809
2024,11120710,"to_in_007",24002
2024,11120710,"to_in_008",27807
2024,11120720,"to_in_001",25652
2024,11120720,"to_in_007",12244
2024,11120720,"to_in_008",13408
2024,11120730,"to_in_001",22827
2024,11120730,"to_in_007",10919
2024,11120730,"to_in_008",11908
2024,11120740,"to_in_001",41987
2024,11120740,"to_in_007",19638
2024,11120740,"to_in_008",22349
2024,11130,"to_in_001",316345
2024,11130,"to_in_007",145122
2024,11130,"to_in_008",171223
2024,11130520,"to_in_001",16479
2024,11130520,"to_in_007",7805
2024,11130520,"to_in_008",8674
2024,11130620,"to_in_001",23819
2024,11130620,"to_in_007",11121
2024,11130620,"to_in_008",12698
2024,11130640,"to_in_001",17311
2024,11130640,"to_in_007",8255
2024,11130640,"to_in_008",9056
2024,11130650,"to_in_001",12274
2024,11130650,"to_in_007",5701
2024,11130650,"to_in_008",6573
2024,11130660,"to_in_001",21115
2024,11130660,"to_in_007",10064
2024,11130660,"to_in_008",11051
2024,11130680,"to_in_001",28218
2024,11130680,"to_in_007",13312
2024,11130680,"to_in_008",14906
2024,11130690,"to_in_001",16217
2024,11130690,"to_in_007",7773
2024,11130690,"to_in_008",8444
2024,11130700,"to_in_001",30554
2024,11130700,"to_in_007",14233
2024,11130700,"to_in_008",16321
2024,11130710,"to_in_001",16913
2024,11130710,"to_in_007",8090
2024,11130710,"to_in_008",8823
2024,11130720,"to_in_001",29681
2024,11130720,"to_in_007",14210
2024,11130720,"to_in_008",15471
2024,11130730,"to_in_001",19538
2024,11130730,"to_in_007",9243
2024,11130730,"to_in_008",10295
2024,11130740,"to_in_001",15224
2024,11130740,"to_in_007",7241
2024,11130740,"to_in_008",7983
2024,11130750,"to_in_001",33046
2024,11130750,"to_in_007",11190
2024,11130750,"to_in_008",21856
2024,11130760,"to_in_001",35956
2024,11130760,"to_in_007",16884
2024,11130760,"to_in_008",19072
2024,11140,"to_in_001",358927
2024,11140,"to_in_007",166191
2024,11140,"to_in_008",192736
2024,11140590,"to_in_001",20445
2024,11140590,"to_in_007",9625
2024,11140590,"to_in_008",10820
2024,11140600,"to_in_001",16282
2024,11140600,"to_in_007",7582
2024,11140600,"to_in_008",8700
2024,11140610,"to_in_001",16575
