읍면동명,취약도,전체쉼터수,개방형쉼터수,접근성_전체,접근성_개방형,접근성_격차,사각지대_정밀
하계1동,0.3983169035878681,16.0,3.0,0.015134241671645624,0.0014368490163029699,0.013697392655342654,True
공릉1동,0.3915772835658387,24.0,3.0,0.029122787196311332,0.003402464023686473,0.02572032317262486,True
신사제2동,0.3895613459113587,12.0,2.0,0.015395736705941585,0.0034502827093427905,0.011945453996598795,True
신길제1동,0.3849416883036261,11.0,3.0,0.025062668097370556,0.003300401859690617,0.02176226623767994,True
자양제4동,0.3766492977256193,7.0,2.0,0.012114343001439196,0.0019986321808583333,0.010115710820580862,True
역촌동,0.3677474569068628,6.0,1.0,0.011693661963511234,0.0011167359069555718,0.010576926056555662,True
전농제2동,0.3652404265314387,8.0,2.0,0.008625421363424998,0.00329367377055089,0.005331747592874108,True
화곡제8동,0.3652135806695846,2.0,1.0,0.01040056126278784,0.0041831752877752,0.006217385975012639,True
구산동,0.3362341174432883,13.0,2.0,0.008235459639394881,0.0004589491407839702,0.007776510498610911,True
상계2동,0.3317956931797799,14.0,1.0,0.024532571474549188,0.0031201513917666706,0.02141242008278252,True
방학제3동,0.330366415590471,14.0,2.0,0.014826679272699757,0.003714599567566012,0.011112079705133745,True
신사제1동,0.3015824994416408,15.0,3.0,0.01269903828338533,0.0029776571145994682,0.009721381168785861,True
오류제2동,0.280893080648103,25.0,3.0,0.018531821589730234,0.003614870652732568,0.014916950936997665,True
신월5동,0.2659517625283174,8.0,2.0,0.012414406590742232,0.0034316270998310306,0.008982779490911202,True
화곡제3동,0.2511499691242566,2.0,1.0,0.009953862543413631,0.003766700381327484,0.006187162162086147,True
신원동,0.2474739978565604,4.0,1.0,0.006360858153505039,0.0013889033170601632,0.004971954836444876,True
보라매동,0.2321256011524206,6.0,2.0,0.006369694136281413,0.0010738522676693935,0.005295841868612019,True
월계1동,0.2225688750919842,19.0,2.0,0.019548142072185238,0.0029182946057727094,0.01662984746641253,True
상도제3동,0.1794895157738264,6.0,1.0,0.013482568930882297,0.002679704747831431,0.010802864183050865,True
창제5동,0.1741026960663101,15.0,1.0,0.025080183923563967,0.003579368460320285,0.021500815463243683,True
홍제제1동,0.1552075680602168,13.0,2.0,0.014662422988210261,0.0030200409877124287,0.011642382000497832,True
상도제4동,0.1363590144000881,10.0,2.0,0.015409442638526658,0.00281591158211722,0.012593531056409438,True
전농제1동,0.1362427498796765,8.0,2.0,0.010829350929692146,0.002434422324924339,0.008394928604767806,True
난향동,0.1283439244410886,7.0,2.0,0.009572808346809514,0.003660240853082211,0.005912567493727303,True
신내1동,0.1130162305534847,21.0,3.0,0.0077092904510436665,0.0004694791174071159,0.00723981133363655,True
용문동,0.0926283750039305,3.0,1.0,0.012473946040687913,0.0030544106347397443,0.009419535405948169,True
상계9동,0.0739590004887356,6.0,2.0,0.026344791399493986,0.0033896295756817413,0.022955161823812246,True
사당제2동,0.0735281893539292,11.0,2.0,0.013973117856536769,0.0018333118506704401,0.012139806005866328,True
금호1가동,0.0562287304382098,11.0,3.0,0.022064145554315344,0.0026313182379623288,0.019432827316353016,True
은천동,0.0484413046213951,10.0,1.0,0.006779306320067117,0.0015932213643698489,0.0051860849556972675,True
용답동,0.0452918114232353,7.0,2.0,0.009889784333478946,0.00017683205375694435,0.009712952279722001,True
홍은제2동,0.0402179259527408,10.0,2.0,0.007352219531358468,0.0011639130049943144,0.006188306526364153,True
방배2동,0.0327342634634451,10.0,3.0,0.005347891915618801,0.0024792103214285157,0.002868681594190285,True
화곡제1동,0.0036332593434499,5.0,1.0,0.007731305358690124,0.0025788440572057166,0.005152461301484407,True
구의제2동,-0.0090447620946964,6.0,2.0,0.007737984394940764,0.0034577305726941113,0.004280253822246652,True
내곡동,-0.0248318099069508,22.0,7.0,0.006943186620781259,0.0003622532149972831,0.0065809334057839765,True
장안제1동,-0.0306904382512489,9.0,3.0,0.007733817070471559,0.001971092231092764,0.005762724839378794,True
목3동,-0.0675232976854079,7.0,3.0,0.014037455153955956,0.004067181523522605,0.009970273630433351,True
금호4가동,-0.0701202976800252,13.0,3.0,0.015752780612551386,0.0012740553173612298,0.014478725295190155,True
마장동,-0.0704587979419686,19.0,3.0,0.01671399601561945,0.004184597483784693,0.012529398531834756,True
증산동,-0.07394701761587,11.0,2.0,0.014030102126122304,0.0025202033140230193,0.011509898812099285,True
자양제1동,-0.0940037961748825,5.0,1.0,0.015698146049003853,0.003664723918296933,0.01203342213070692,True
