행정기관코드,시군구명,읍면동명,총인구,고령인구,위치코드,전체쉼터수,개방형쉼터수,평균용량,독거노인,고령비율,독거비율,취약도
1114066500,중구,동화동,9737,2410,1114066500.0,9.0,4.0,47.111111111111114,411,0.24750949984594844,0.04221012632227585,0.0399854615669874
1114067000,중구,황학동,13198,2426,1114067000.0,5.0,3.0,26.2,849,0.18381572965600848,0.06432792847401121,-0.19477088079052293
1114068000,중구,중림동,11886,2351,1114068000.0,8.0,5.0,60.625,699,0.1977957260642773,0.058808682483594145,-0.1560112351553168
1117051000,용산구,후암동,15573,3357,1117051000.0,6.0,1.0,42.5,1053,0.21556540165671353,0.06761702947408978,0.1971896292317595
1117052000,용산구,용산2가동,8405,2165,1117052000.0,5.0,1.0,73.0,664,0.2575847709696609,0.07900059488399762,0.8509727533336386
1117053000,용산구,남영동,7029,1701,1117053000.0,4.0,2.0,41.0,1055,0.24199743918053776,0.15009247403613601,2.055053636220019
1117055500,용산구,청파동,18775,3659,1117055500.0,9.0,2.0,31.666666666666668,1212,0.1948868175765646,0.06455392809587217,-0.07578284902966911
1117056000,용산구,원효로제1동,17021,2276,1117056000.0,5.0,2.0,33.0,564,0.13371717290405968,0.033135538452499856,-1.3126960925854232
1117057000,용산구,원효로제2동,13321,2626,1117057000.0,7.0,1.0,23.857142857142858,620,0.19713234742136476,0.04654305232339914,-0.3984727886868479
1117058000,용산구,효창동,10377,1802,1117058000.0,6.0,2.0,32.833333333333336,339,0.17365327165847547,0.03266840127204394,-0.9081085613835842
1117059000,용산구,용문동,11024,2481,1117059000.0,3.0,1.0,30.0,629,0.2250544267053701,0.05705732946298984,0.09262837500393054
1117062500,용산구,한강로동,20860,3579,1117062500.0,7.0,1.0,38.0,828,0.1715723873441994,0.03969319271332694,-0.7947286765922833
1117063000,용산구,이촌제1동,24926,4822,1117063000.0,2.0,1.0,30.0,737,0.19345261975447325,0.029567519858781994,-0.7626356572537986
1117064000,용산구,이촌제2동,7695,1935,1117064000.0,2.0,1.0,60.0,437,0.25146198830409355,0.056790123456790124,0.36096070802875646
1117065000,용산구,이태원제1동,5398,1362,1117065000.0,6.0,3.0,56.333333333333336,380,0.25231567247128567,0.07039644312708411,0.6311442524888279
1117066000,용산구,이태원제2동,8336,1871,1117066000.0,4.0,1.0,51.0,490,0.22444817658349328,0.05878119001919386,0.11946135030495313
1117068500,용산구,한남동,13698,2758,1117068500.0,6.0,1.0,43.166666666666664,676,0.20134326179004233,0.049350270112425175,-0.30094688277828996
1117069000,용산구,서빙고동,12167,2459,1117069000.0,5.0,1.0,40.0,554,0.20210405194378236,0.04553299909591518,-0.36638866168149375
1117070000,용산구,보광동,5043,1267,1117070000.0,6.0,1.0,27.0,414,0.2512393416617093,0.08209399167162404,0.844678747707643
1120052000,성동구,왕십리제2동,15630,3001,1120052000.0,17.0,1.0,19.176470588235293,765,0.19200255918106207,0.04894433781190019,-0.4054718860583767
1120053500,성동구,왕십리도선동,25497,4609,1120053500.0,13.0,2.0,32.92307692307692,1185,0.18076636467035337,0.04647605600658901,-0.5692382877261597
1120054000,성동구,마장동,21369,4577,1120054000.0,19.0,3.0,21.526315789473685,1163,0.21418877813655296,0.054424633815339976,-0.0704587979419686
1120055000,성동구,사근동,12151,1672,1120055000.0,10.0,1.0,20.5,418,0.13760184346967327,0.03440046086741832,-1.2481722341386299
1120056000,성동구,행당제1동,15695,2748,1120056000.0,9.0,4.0,25.88888888888889,622,0.17508760751831792,0.03963045555909525,-0.7595316793858736
1120057000,성동구,행당제2동,22265,4552,1120057000.0,11.0,1.0,35.90909090909091,1013,0.20444644060184144,0.04549741747136762,-0.3428153844074443
1120058000,성동구,응봉동,14363,2716,1120058000.0,10.0,1.0,23.6,545,0.18909698530947575,0.03794471906983221,-0.6468356976166085
1120059000,성동구,금호1가동,14227,3118,1120059000.0,11.0,3.0,23.818181818181817,830,0.21916075068531665,0.0583397764813383,0.05622873043820985
1120061500,성동구,금호2.3가동,20564,4299,1120061500.0,12.0,1.0,27.25,1018,0.20905465862672631,0.04950398755106011,-0.21813864164238284
1120062000,성동구,금호4가동,13743,2918,1120062000.0,13.0,3.0,28.692307692307693,762,0.21232627519464456,0.055446409080986685,-0.07012029768002521
1120064500,성동구,옥수동,25166,4919,1120064500.0,18.0,3.0,24.0,953,0.19546213144719066,0.037868552809345944,-0.5823841036477415
1120065000,성동구,성수1가제1동,14776,2817,1120065000.0,15.0,4.0,18.266666666666666,679,0.19064699512723335,0.04595289658906335,-0.47696755256153767
1120066000,성동구,성수1가제2동,14275,2591,1120066000.0,12.0,1.0,24.916666666666668,541,0.1815061295971979,0.037898423817863396,-0.7263323597035014
1120067000,성동구,성수2가제1동,13300,3294,1120067000.0,9.0,1.0,17.555555555555557,995,0.24766917293233082,0.07481203007518797,0.6678395378316062
1120069000,성동구,성수2가제3동,9330,2047,1120069000.0,11.0,1.0,21.0,413,0.21939978563772777,0.04426580921757771,-0.2116214462728178
1120072000,성동구,송정동,9005,2055,1120072000.0,8.0,2.0,31.875,661,0.22820655191560243,0.07340366463076069,0.43924233508485394
1120079000,성동구,용답동,13161,2514,1120079000.0,7.0,2.0,26.142857142857142,960,0.19101891953498976,0.07294278550262139,0.04529181142323535
1121571000,광진구,화양동,22998,2570,1121571000.0,5.0,1.0,26.6,811,0.11174884772588921,0.0352639359944343,-1.499308905441688
1121573000,광진구,군자동,18475,3614,1121573000.0,8.0,2.0,87.75,1085,0.19561569688768607,0.05872801082543978,-0.180136124711715
1121574000,광진구,중곡제1동,14776,3092,1121574000.0,3.0,1.0,31.666666666666668,923,0.20925825663237682,0.06246616134271792,0.0329404841738917
1121575000,광진구,중곡제2동,19686,4178,1121575000.0,5.0,3.0,38.0,1156,0.21223204307629787,0.05872193436960276,-0.008181520045169546
1121576000,광진구,중곡제3동,15204,3615,1121576000.0,5.0,3.0,34.8,1221,0.2377663772691397,0.0803078137332281,0.6708508749550831
1121577000,광진구,중곡제4동,26778,6657,1121577000.0,3.0,1.0,40.666666666666664,1687,0.24859959668384496,0.06299947718276197,0.45058515125305265
1121578000,광진구,능동,10614,1906,1121578000.0,2.0,1.0,45.0,478,0.17957414735255323,0.04503485961937064,-0.6092661054881703
1121581000,광진구,광장동,32836,4676,1121581000.0,9.0,6.0,52.111111111111114,765,0.14240467779266658,0.02329760019490803,-1.411694296783008
1121582000,광진구,자양제1동,21442,4299,1121582000.0,5.0,1.0,23.8,1299,0.200494356869695,0.060582035257905044,-0.0940037961748825
1121583000,광진구,자양제2동,26275,5036,1121583000.0,12.0,3.0,37.25,1044,0.1916650808753568,0.03973358705994291,-0.5858820138895326
1121584000,광진구,자양제3동,26564,5307,1121584000.0,15.0,3.0,27.266666666666666,966,0.19978165938864628,0.03636500527029062,-0.5665324050167682
1121584700,광진구,자양제4동,19873,4524,1121584700.0,7.0,2.0,30.285714285714285,1400,0.22764554923765914,0.07044734061289186,0.37664929772561934
1121585000,광진구,구의제1동,23190,3948,1121585000.0,5.0,1.0,33.0,1121,0.1702457956015524,0.048339801638637346,-0.6423866463943956
1121586000,광진구,구의제2동,24774,5426,1121586000.0,6.0,2.0,35.0,1363,0.21901994025994995,0.05501735690643417,-0.00904476209469647
1121587000,광진구,구의제3동,27420,5174,1121587000.0,6.0,3.0,30.0,909,0.1886943836615609,0.033150984682713346,-0.7430804379517839
1123051500,동대문구,신설동,16383,2689,1123051500.0,1.0,1.0,20.0,880,0.1641335530733077,0.05371421595556369,-0.6024532660865459
1123053300,동대문구,용두동,22698,4812,,0.0,0.0,,1696,0.2120010573618821,0.07472023966869328,0.29671370469134534
1123054500,동대문구,제기동,22176,5921,1123054500.0,11.0,2.0,34.54545454545455,2068,0.26700036075036077,0.09325396825396826,1.222247769499099
1123056000,동대문구,전농제1동,32499,6819,1123056000.0,8.0,2.0,28.625,2195,0.20982184067202067,0.06754053970891412,0.13624274987967652
1123057000,동대문구,전농제2동,17148,4317,1123057000.0,8.0,2.0,30.375,975,0.2517494751574528,0.056857942617214836,0.3652404265314387
1123060000,동대문구,답십리제1동,27536,4894,1123060000.0,8.0,3.0,28.625,1150,0.17773097036606625,0.041763509587449156,-0.6911876138094256
1123061000,동대문구,답십리제2동,27164,6694,1123061000.0,12.0,3.0,33.416666666666664,1764,0.2464290973347077,0.0649388897069651,0.4653596847071538
1123065000,동대문구,장안제1동,37060,8171,1123065000.0,9.0,3.0,35.111111111111114,1968,0.22048030221262818,0.05310307609282245,-0.03069043825124898
1123066000,동대문구,장안제2동,32945,6522,1123066000.0,4.0,2.0,33.75,1637,0.19796630748216726,0.04968887539839126,-0.3294133286282417
1123070500,동대문구,청량리동,18173,6097,1123070500.0,9.0,2.0,53.666666666666664,2245,0.33549771639245035,0.12353491443350025,2.5131960244338716
1123071000,동대문구,회기동,10311,1635,1123071000.0,2.0,1.0,37.5,490,0.15856851905731742,0.04752206381534284,-0.7790178942079884
1123072000,동대문구,휘경제1동,16799,2658,1123072000.0,5.0,1.0,38.0,602,0.15822370379189238,0.03583546639680933,-1.007058787748875
1123073000,동대문구,휘경제2동,23520,4715,1123073000.0,3.0,2.0,26.666666666666668,1084,0.20046768707482993,0.04608843537414966,-0.37266557752901647
1123074000,동대문구,이문제1동,30528,4305,1123074000.0,7.0,2.0,29.428571428571427,936,0.1410180817610063,0.030660377358490566,-1.2846328228846198
1123075000,동대문구,이문제2동,17908,4380,1123075000.0,6.0,2.0,199.66666666666666,1118,0.2445834264016082,0.06243019879383516,0.39806111372760855
1126052000,중랑구,면목제2동,22849,5808,1126052000.0,7.0,2.0,34.857142857142854,1925,0.254190555385356,0.08424876362204035,0.9166279234950836
1126054000,중랑구,면목제4동,17451,4552,1126054000.0,10.0,3.0,34.5,1416,0.2608446507363475,0.08114148186350352,0.9258516388023381
1126055000,중랑구,면목제5동,13753,2874,1126055000.0,4.0,1.0,65.75,722,0.20897258779902567,0.05249763687922635,-0.16148805547446354
1126056500,중랑구,면목본동,31534,7576,1126056500.0,8.0,3.0,35.5,2615,0.2402486205365637,0.08292636519312488,0.7468516440837258
1126057000,중랑구,면목제7동,20402,5346,1126057000.0,8.0,3.0,40.75,1419,0.26203313400646994,0.06955200470542104,0.7155543229429503
1126057500,중랑구,면목제3.8동,23424,6270,1126057500.0,10.0,3.0,24.7,2022,0.2676741803278688,0.0863217213114754,1.096074509791984
1126058000,중랑구,상봉제1동,22746,5048,1126058000.0,13.0,3.0,32.15384615384615,1339,0.22192913039655324,0.05886749318561505,0.09503292131882335
1126059000,중랑구,상봉제2동,21862,3751,1126059000.0,7.0,4.0,30.285714285714285,1310,0.17157625102918306,0.059921324672948494,-0.4061571266033548
1126060000,중랑구,중화제1동,17843,4541,1126060000.0,6.0,3.0,36.5,1128,0.2544975620691588,0.06321806871041866,0.5158603897588016
1126061000,중랑구,중화제2동,25530,6453,1126061000.0,8.0,3.0,56.5,2443,0.2527614571092832,0.09569134351743047,1.121612012913327
1126062000,중랑구,묵제1동,32844,7328,1126062000.0,12.0,5.0,24.416666666666668,1503,0.22311533308975764,0.04576178297405919,-0.14441103465578267
1126063000,중랑구,묵제2동,17541,4431,1126063000.0,9.0,1.0,36.0,1247,0.25260817513254663,0.07109058776580583,0.6475060495899729
1126065500,중랑구,망우본동,37965,8583,1126065500.0,17.0,4.0,38.529411764705884,2819,0.22607664954563414,0.07425260107994205,0.4334919696186701
1126066000,중랑구,망우제3동,15146,4252,1126066000.0,4.0,2.0,34.75,1534,0.2807341872441569,0.10128086623530966,1.5186455475080598
1126068000,중랑구,신내1동,36588,8901,1126068000.0,21.0,3.0,29.61904761904762,1767,0.24327648409314528,0.04829452279435881,0.11301623055348475
1126069000,중랑구,신내2동,18908,5068,1126069000.0,9.0,4.0,176.44444444444446,1533,0.26803469430928706,0.0810767928918976,0.9990659450064201
